id,level,lesson,jp_text,en_translation,grammar_point,structure_type,vocab_list,kanji_list,audio_file_path,image_description
0x001,1,1,おはようございます。,Good morning.,greeting,greeting,おはよう,—,audio/0x001.mp3,Sun rising behind school building
0x002,1,1,はじめまして。,Nice to meet you.,introduction,greeting,はじめまして,—,audio/0x002.mp3,Two people bowing in greeting
0x003,1,2,このかばんはおおきいですか？,Is this bag big?,い-adjective question,question,"この, かばん, おおきい","鞄, 大",audio/0x003.mp3,A person comparing two bags
0x004,1,2,そのかばんはたかいです。,That bag is expensive.,い-adjective statement,statement,"その, かばん, たかい","鞄, 高",audio/0x004.mp3,A price tag on a luxury handbag
0x005,1,3,これはなんですか？,What is this?,question structure,question,"これ, なん",何,audio/0x005.mp3,Someone pointing to an unknown object
0x006,1,3,それはにほんのまんがです。,That is a Japanese comic book.,noun + の + noun,statement,"それ, にほん, まんが","日本, 漫画",audio/0x006.mp3,A manga book with a Japanese flag
0x007,1,4,あつかったです。,It was hot.,い-adjective past tense,statement,あつい,暑,audio/0x007.mp3,Sunshine and sweat drops on a student
0x008,1,4,さむくなかったです。,It was not cold.,い-adjective past negative,statement,さむい,寒,audio/0x008.mp3,"Someone dressed for cold, but sweating"
0x009,1,4,おおきかったです。,It was big.,い-adjective past tense,statement,おおきい,大,audio/0x009.mp3,A large suitcase on the floor
0x00A,1,5,うみに行きました。,I went to the beach.,past tense verb,statement,"うみ, 行きます","海, 行",audio/0x00A.mp3,Waves crashing on the beach
0x00B,1,5,どうでしたか？,How was it?,past question,question,どう,—,audio/0x00B.mp3,Someone asking a friend with curious face
0x00C,2,6,しゃしんをとりましょうか？,Shall we take a photo?,〜ましょうか (suggestion),suggestion,"しゃしん, とります","写真, 撮",audio/0x00C.mp3,People smiling under cherry blossoms
0x00D,2,6,いっしょにコンサートに行きましょうか？,Shall we go to a concert together?,〜ましょうか (suggestion),suggestion,"いっしょに, コンサート, 行きます",行,audio/0x00D.mp3,Two people planning an outing
0x00E,2,7,しゃしんをとってもいいですか？,May I take a photo?,〜てもいいですか (permission request),question,"しゃしん, とります","写真, 撮",audio/0x00E.mp3,A student asking permission to take a photo
0x00F,2,7,ここでたばこをすってはいけません。,You must not smoke here.,〜てはいけません (prohibition),statement,"ここ, たばこ, すいます",煙,audio/0x00F.mp3,No smoking sign at a station
0x010,2,8,フライドポテトをたべて、ビールをのみました。,I ate fries and drank beer.,〜て、〜て (sequence),statement,"フライドポテト, たべます, ビール, のみます","食, 飲",audio/0x010.mp3,Beer and fries on a table
0x011,2,8,今、しゅくだいをしています。,I’m doing homework now.,〜ています (ongoing action),statement,"いま, しゅくだい, します","今, 宿題",audio/0x011.mp3,A student doing homework at a desk
0x012,2,9,まどをあけてください。,Please open the window.,〜てください (request),request,"まど, あけます","窓, 開",audio/0x012.mp3,Someone opening a classroom window
0x013,2,9,いそいでください。,Please hurry.,〜てください (request),request,いそぎます,急,audio/0x013.mp3,Someone running toward a train
0x014,2,10,たすけてください！,Please help!,〜てください (urgent request),request,たすけます,助,audio/0x014.mp3,Someone calling for help in an emergency
